"Measure code","SEX","YES_NO","COUNTRY_REGION","YEAR","VALUE"
"HFA_640","FEMALE","","AND","2014","0"
"HFA_640","FEMALE","","AND","2015","0"
"HFA_640","FEMALE","","AND","2016","0"
"HFA_640","FEMALE","","AND","2017","0"
"HFA_640","FEMALE","","AND","2018","0"
"HFA_640","FEMALE","","ARM","2000","25"
"HFA_640","FEMALE","","ARM","2001","7"
"HFA_640","FEMALE","","ARM","2002","6"
"HFA_640","FEMALE","","ARM","2003","7"
"HFA_640","FEMALE","","ARM","2004","14"
"HFA_640","FEMALE","","ARM","2005","10"
"HFA_640","FEMALE","","ARM","2006","13"
"HFA_640","FEMALE","","ARM","2007","6"
"HFA_640","FEMALE","","ARM","2008","15"
"HFA_640","FEMALE","","ARM","2009","15"
"HFA_640","FEMALE","","ARM","2010","3"
"HFA_640","FEMALE","","ARM","2011","5"
"HFA_640","FEMALE","","ARM","2012","10"
"HFA_640","FEMALE","","ARM","2013","8"
"HFA_640","FEMALE","","ARM","2014","8"
"HFA_640","FEMALE","","ARM","2015","5"
"HFA_640","FEMALE","","ARM","2016","12"
"HFA_640","FEMALE","","ARM","2017","3"
"HFA_640","FEMALE","","ARM","2018","8"
"HFA_640","FEMALE","","AUT","1985","6"
"HFA_640","FEMALE","","AUT","1986","6"
"HFA_640","FEMALE","","AUT","1987","4"
"HFA_640","FEMALE","","AUT","1988","5"
"HFA_640","FEMALE","","AUT","1989","7"
"HFA_640","FEMALE","","AUT","1990","6"
"HFA_640","FEMALE","","AUT","1991","7"
"HFA_640","FEMALE","","AUT","1992","4"
"HFA_640","FEMALE","","AUT","1993","4"
"HFA_640","FEMALE","","AUT","1994","8"
"HFA_640","FEMALE","","AUT","1995","1"
"HFA_640","FEMALE","","AUT","1996","4"
"HFA_640","FEMALE","","AUT","1997","2"
"HFA_640","FEMALE","","AUT","1998","4"
"HFA_640","FEMALE","","AUT","1999","1"
"HFA_640","FEMALE","","AUT","2000","2"
"HFA_640","FEMALE","","AUT","2001","5"
"HFA_640","FEMALE","","AUT","2002","2"
"HFA_640","FEMALE","","AUT","2003","2"
"HFA_640","FEMALE","","AUT","2004","3"
"HFA_640","FEMALE","","AUT","2005","3"
"HFA_640","FEMALE","","AUT","2006","2"
"HFA_640","FEMALE","","AUT","2007","3"
"HFA_640","FEMALE","","AUT","2008","2"
"HFA_640","FEMALE","","AUT","2009","2"
"HFA_640","FEMALE","","AUT","2010","1"
"HFA_640","FEMALE","","AUT","2011","2"
"HFA_640","FEMALE","","AUT","2012","1"
"HFA_640","FEMALE","","AUT","2013","1"
"HFA_640","FEMALE","","AUT","2014","7"
"HFA_640","FEMALE","","AUT","2015","4"
"HFA_640","FEMALE","","AUT","2016","5"
"HFA_640","FEMALE","","AUT","2017","2"
"HFA_640","FEMALE","","AUT","2018","6"
"HFA_640","FEMALE","","AZE","1990","17"
"HFA_640","FEMALE","","AZE","1991","20"
"HFA_640","FEMALE","","AZE","1992","32"
"HFA_640","FEMALE","","AZE","1993","60"
"HFA_640","FEMALE","","AZE","1994","70"
"HFA_640","FEMALE","","AZE","1995","53"
"HFA_640","FEMALE","","AZE","1996","57"
"HFA_640","FEMALE","","AZE","1997","41"
"HFA_640","FEMALE","","AZE","1998","51"
"HFA_640","FEMALE","","AZE","1999","51"
"HFA_640","FEMALE","","AZE","2000","44"
"HFA_640","FEMALE","","AZE","2001","28"
"HFA_640","FEMALE","","AZE","2002","22"
"HFA_640","FEMALE","","AZE","2003","21"
"HFA_640","FEMALE","","AZE","2004","34"
"HFA_640","FEMALE","","AZE","2005","41"
"HFA_640","FEMALE","","AZE","2006","51"
"HFA_640","FEMALE","","AZE","2007","53"
"HFA_640","FEMALE","","AZE","2008","40"
"HFA_640","FEMALE","","AZE","2009","37"
"HFA_640","FEMALE","","AZE","2010","26"
"HFA_640","FEMALE","","AZE","2011","27"
"HFA_640","FEMALE","","AZE","2012","26"
"HFA_640","FEMALE","","AZE","2013","25"
"HFA_640","FEMALE","","AZE","2014","25"
"HFA_640","FEMALE","","AZE","2015","24"
